mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09210991859436035,0.002357802742609291,0.011208391189575196,0.0022245291717614027,0.043490909090909094,17,entropy,"{'min_samples_leaf': 0.043490909090909094, 'max_depth': 17, 'criterion': 'entropy'}",0.9207030342707618,0.9214576340880347,0.9239369156015128,0.9200719884709682,0.9224220768509809,0.9217183298564517,0.0013584262886181878,35
0.07699742317199706,0.004840534519641144,0.009712839126586914,0.0008188338371412627,0.06569090909090909,15,entropy,"{'min_samples_leaf': 0.06569090909090909, 'max_depth': 15, 'criterion': 'entropy'}",0.9090802864629223,0.9122190445298278,0.9167094964885427,0.9088326433924814,0.9126675199895345,0.9119017981726618,0.0028698981738520223,66
0.13729019165039064,0.003969804871453629,0.007567119598388672,0.006425821887919735,0.0001,8,gini,"{'min_samples_leaf': 0.0001, 'max_depth': 8, 'criterion': 'gini'}",0.947874920244629,0.9396080103175373,0.9477509003377209,0.947409741803296,0.9518205178546095,0.9468928181115587,0.003982930809421994,5
0.14542708396911622,0.009533691259575636,0.009166097640991211,0.0050633204716340465,0.0112,18,entropy,"{'min_samples_leaf': 0.0112, 'max_depth': 18, 'criterion': 'entropy'}",0.9437337893517848,0.9398650838501409,0.9456091308087363,0.9416090835825711,0.9423313374908387,0.9426296850168144,0.0019426683584240173,11
0.07971763610839844,0.004356116906815696,0.00453643798828125,0.006189214374387929,0.05055454545454546,8,gini,"{'min_samples_leaf': 0.05055454545454546, 'max_depth': 8, 'criterion': 'gini'}",0.9181660819293227,0.9172735006742497,0.9209975275564087,0.9183570601121719,0.9212295618937537,0.9192047464331814,0.0016025634487886698,46
0.06538481712341308,0.008525809150057198,0.010996770858764649,0.006230100377719598,0.07679090909090909,18,gini,"{'min_samples_leaf': 0.07679090909090909, 'max_depth': 18, 'criterion': 'gini'}",0.9102926840306945,0.9061593925938735,0.909128544119877,0.9084909359318091,0.9081383100231517,0.9084419733398811,0.0013565613221978167,74
0.10586481094360352,0.004296612181727536,0.005644702911376953,0.004836633833147517,0.030372727272727273,24,entropy,"{'min_samples_leaf': 0.030372727272727273, 'max_depth': 24, 'criterion': 'entropy'}",0.930312608991911,0.9262002068645759,0.9316492780891444,0.9261942502035141,0.9302155896607726,0.9289143867619837,0.002275684528737401,30
0.10533833503723145,0.00543886378137538,0.008879709243774413,0.0009875690612632915,0.032390909090909095,12,entropy,"{'min_samples_leaf': 0.032390909090909095, 'max_depth': 12, 'criterion': 'entropy'}",0.9296323065680339,0.9255488598327961,0.9296886300193309,0.9261457097568391,0.9287940741140676,0.9279619160582134,0.0017655411785011533,32
0.06867375373840331,0.0040318675908901135,0.009282398223876952,0.001003564157345208,0.06569090909090909,6,gini,"{'min_samples_leaf': 0.06569090909090909, 'max_depth': 6, 'criterion': 'gini'}",0.9106141035842246,0.9065359109072837,0.9145687905880718,0.9086560257174551,0.9122074274861255,0.9105164516566321,0.002778354739861035,70
0.08305249214172364,0.015910755355666658,0.009741830825805663,0.0007571755086563805,0.058627272727272736,16,gini,"{'min_samples_leaf': 0.058627272727272736, 'max_depth': 16, 'criterion': 'gini'}",0.914972210081054,0.9110496087277857,0.9186082399827599,0.9178229077911354,0.9204051911609126,0.9165716315487294,0.003269878606762621,55
0.1008692741394043,0.007713715789043631,0.0033028125762939453,0.003474691330594875,0.056609090909090914,25,entropy,"{'min_samples_leaf': 0.056609090909090914, 'max_depth': 25, 'criterion': 'entropy'}",0.9142710526968444,0.9136448673678178,0.9198347509164438,0.9161339887414442,0.918375665597141,0.9164520650639382,0.00236140420028131,57
0.08590707778930665,0.004861773265698896,0.006204032897949218,0.004391109658063389,0.058627272727272736,21,entropy,"{'min_samples_leaf': 0.058627272727272736, 'max_depth': 21, 'criterion': 'entropy'}",0.9133933933381205,0.912073000368559,0.9193862078010436,0.911642929438646,0.9167638451793154,0.9146518752251369,0.0029719505029028957,59
0.07148032188415528,0.010480210774219659,0.003125429153442383,0.006250858306884766,0.07780000000000001,23,gini,"{'min_samples_leaf': 0.07780000000000001, 'max_depth': 23, 'criterion': 'gini'}",0.9102926840306945,0.9061241688609382,0.9088973478923318,0.9040690056973437,0.9081383100231517,0.907504303300892,0.002182825945843389,76
0.06475248336791992,0.0035621028886885712,0.004431724548339844,0.006143598719665384,0.09091818181818183,8,gini,"{'min_samples_leaf': 0.09091818181818183, 'max_depth': 8, 'criterion': 'gini'}",0.8973633540765524,0.8960629858698406,0.8991810654993554,0.9023634924191065,0.9066238830259287,0.9003189561781568,0.003796732627970844,95
0.058156585693359374,0.004453967016894354,0.004853010177612305,0.005202451593387087,0.09495454545454546,25,gini,"{'min_samples_leaf': 0.09495454545454546, 'max_depth': 25, 'criterion': 'gini'}",0.8973633540765524,0.8960629858698406,0.899033244861836,0.9003784952825824,0.9043677361796981,0.8994411632541018,0.0028651521060992706,98
0.056761884689331056,0.005228183026238884,0.009561729431152344,0.00590592862990968,0.0989909090909091,16,gini,"{'min_samples_leaf': 0.0989909090909091, 'max_depth': 16, 'criterion': 'gini'}",0.8970855376960616,0.8959094403067644,0.8990983485594928,0.9005066028069981,0.904134726817832,0.8993469312374298,0.0028726246766364342,99
