mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
0.09392848014831542,0.005565601132849459,0.005586481094360352,0.006288150825767752,entropy,6,0.04248181818181819,"OrderedDict([('criterion', 'entropy'), ('max_depth', 6), ('min_samples_leaf', 0.04248181818181819)])",0.9225319088205323,0.9216626007554881,0.9240860689374083,0.9199274837309188,0.9224190312364421,0.9221254186961578,0.0013520880497340127,69,0.9242003164250606,0.9266462491812503,0.9233528767263275,0.9240952285155818,0.9226866794545775,0.9241962700605596,0.0013418494380960913,69
0.065791654586792,0.005462370983677401,0.006522846221923828,0.003502441693089551,gini,11,0.08587272727272728,"OrderedDict([('criterion', 'gini'), ('max_depth', 11), ('min_samples_leaf', 0.08587272727272728)])",0.8973633540765524,0.8984271716480322,0.9028738394597472,0.9020827504296314,0.9067105096038945,0.9014915250435716,0.003344553713393506,96,0.9008664501192886,0.904832369700738,0.9011215682378868,0.9040504969187498,0.9031316310858156,0.9028005032124957,0.00157225922649641,96
0.12434887886047363,0.004086547453947137,0.009369516372680664,0.0010301010898311838,gini,21,0.008172727272727272,"OrderedDict([('criterion', 'gini'), ('max_depth', 21), ('min_samples_leaf', 0.008172727272727272)])",0.9447452114383893,0.9425948348423092,0.9487480616897264,0.9416551967564734,0.9453916808559063,0.944626997116561,0.0024715650892668107,44,0.9501503275404959,0.9506131117710158,0.9489756230679408,0.9496492259479633,0.9493622171619261,0.9497501010978684,0.0005771333623722617,44
0.0895658016204834,0.0030313716467673807,0.00660099983215332,0.003707581214335028,entropy,28,0.04651818181818182,"OrderedDict([('criterion', 'entropy'), ('max_depth', 28), ('min_samples_leaf', 0.04651818181818182)])",0.9205414114932196,0.9187364161151854,0.9213609931571503,0.9175325761143437,0.9201461749982189,0.9196635143756235,0.001362755142886261,73,0.9219537493234276,0.9231887452755108,0.9211717464708605,0.9212619480760775,0.9205432183058191,0.9216238814903391,0.00090120655168758,74
0.07146778106689453,0.00027455000766256305,0.005688524246215821,0.004707500100478239,entropy,22,0.07981818181818183,"OrderedDict([('criterion', 'entropy'), ('max_depth', 22), ('min_samples_leaf', 0.07981818181818183)])",0.9048959199783263,0.9008764035883869,0.9043265757275892,0.9020727436993338,0.9055254724975393,0.9035394230982352,0.0017690057452177208,91,0.9089053905799975,0.9067057185138859,0.90233120881727,0.9045086421224905,0.9042807472989054,0.9053463414665099,0.002255792213953466,91
0.12363910675048828,0.003382397546347806,0.0049307823181152345,0.004371542261099013,gini,27,0.009181818181818182,"OrderedDict([('criterion', 'gini'), ('max_depth', 27), ('min_samples_leaf', 0.009181818181818182)])",0.9427754618984149,0.9419213187897072,0.9464430865120241,0.9415875805823853,0.9451381322757908,0.9435731160116646,0.0018969999297673706,48,0.948206205463087,0.9490719286493525,0.9468176626103423,0.9484552200221558,0.9482949482190587,0.9481691929927992,0.0007403461084827594,48
0.09416360855102539,0.003735411223886828,0.0061109066009521484,0.004989651870759197,gini,17,0.029363636363636366,"OrderedDict([('criterion', 'gini'), ('max_depth', 17), ('min_samples_leaf', 0.029363636363636366)])",0.9276323688460848,0.9269426160156903,0.931351778876156,0.9298172134337938,0.9312262918203297,0.9293940537984108,0.0018155951531008468,62,0.9314293200069685,0.9321481373914878,0.9309726807591564,0.931809173277193,0.9316170880455626,0.9315952798960737,0.00039167582365735577,62
0.09810643196105957,0.004958570436248782,0.007332420349121094,0.002722702826128555,gini,23,0.026336363636363637,"OrderedDict([('criterion', 'gini'), ('max_depth', 23), ('min_samples_leaf', 0.026336363636363637)])",0.9296146968601501,0.9271879123134558,0.9336100116745385,0.9299475431357056,0.9319151542491152,0.9304550636465929,0.002178239328676215,60,0.9329163568542359,0.9340623192243109,0.9325667142955189,0.9330099812485656,0.9326628990809596,0.9330436541407181,0.0005343150843487855,60
0.06865034103393555,0.0020320460819523703,0.005984687805175781,0.005943921452316421,entropy,25,0.0889,"OrderedDict([('criterion', 'entropy'), ('max_depth', 25), ('min_samples_leaf', 0.0889)])",0.9015587238647975,0.9008826589584081,0.9040837552629171,0.9020727436993338,0.90542791138565,0.9028051586342212,0.0016911343890309704,93,0.9051580805662182,0.9066448622250318,0.9021035793806257,0.9045086421224905,0.9040464545841971,0.9044923237757126,0.0014820134472632344,94
0.11238389015197754,0.00566699971150099,0.006630229949951172,0.0037449388414645024,gini,9,0.016245454545454546,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 0.016245454545454546)])",0.9362008779120913,0.9334259245569699,0.9399643837585193,0.9355995009671686,0.9384224493592299,0.9367226273107958,0.0022715749659027655,54,0.9398099255374593,0.939674811282654,0.938377681032949,0.9405207457058137,0.940249533662346,0.9397265394442444,0.0007393692710748699,54
0.07091717720031739,0.0009296707648514235,0.006130504608154297,0.004281680225443852,gini,4,0.057618181818181825,"OrderedDict([('criterion', 'gini'), ('max_depth', 4), ('min_samples_leaf', 0.057618181818181825)])",0.9123360917753335,0.9083803782292277,0.9125501026838619,0.915026159549232,0.9182204048998512,0.9133026274275012,0.0032522029478123447,80,0.9159482844801681,0.9127689925459865,0.9143857119990743,0.9171744217694088,0.9166539295980846,0.9153862680785444,0.001610687149477483,80
