mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17642707824707032,0.012015623835823412,0.016913461685180663,0.003811253749991788,0.08385454545454546,4,entropy,"{'min_samples_leaf': 0.08385454545454546, 'max_depth': 4, 'criterion': 'entropy'}",0.9015587238647975,0.9008764035883869,0.9040837552629171,0.9020727436993338,0.9054668252723239,0.9028116903375519,0.0017046520239430093,87,0.9051580805662182,0.9067057185138859,0.9021035793806257,0.9045086421224905,0.904304251549766,0.9045560544265973,0.0014875333695376343
0.27440242767333983,0.015914175951761263,0.016621160507202148,0.004471594457267154,0.016245454545454546,13,gini,"{'min_samples_leaf': 0.016245454545454546, 'max_depth': 13, 'criterion': 'gini'}",0.9362008779120913,0.9332135019514712,0.9399521466916588,0.9357252247918922,0.9384466994265939,0.9367076901547415,0.00232301956538923,21,0.9398099255374593,0.9397856611654616,0.938423644234227,0.9406098804512654,0.9403039426661938,0.9397866108109214,0.000748816067760008
0.18034305572509765,0.01514372435226133,0.01147756576538086,0.0022226154859775467,0.06266363636363637,27,gini,"{'min_samples_leaf': 0.06266363636363637, 'max_depth': 27, 'criterion': 'gini'}",0.9104448769451711,0.9065565429817655,0.9165467295658059,0.9107759160492904,0.9122074274861255,0.9113062986056317,0.0032204869609188773,70,0.9140672524530888,0.9122899007954218,0.916757244987699,0.9143582942349352,0.9098666371789527,0.9134678659300194,0.002294715308319115
0.31616997718811035,0.023983847567596455,0.01310725212097168,0.004605326053031125,0.004136363636363637,19,gini,"{'min_samples_leaf': 0.004136363636363637, 'max_depth': 19, 'criterion': 'gini'}",0.9498902567995394,0.9484595106594513,0.9541650543936901,0.9452467091427988,0.9511336734486652,0.9497790408888289,0.0029450875673942885,6,0.9569696659870641,0.9585526697446619,0.9568646743689752,0.9577022565290778,0.9572561587263788,0.9574690850712315,0.0006145883207826817
0.15305209159851074,0.0054515350151389435,0.011995935440063476,0.007261665264364885,0.09596363636363638,21,entropy,"{'min_samples_leaf': 0.09596363636363638, 'max_depth': 21, 'criterion': 'entropy'}",0.9015587238647975,0.9007549314352951,0.9040837552629171,0.9023728599495473,0.899822988431975,0.9017186517889064,0.0014539309601156205,90,0.9051580805662182,0.9064599320326684,0.9021035793806257,0.9043975242914989,0.897836221133495,0.9031910674809012,0.003028767529673275
0.25348362922668455,0.005955074495093254,0.013441658020019532,0.004125898863013902,0.009181818181818182,25,gini,"{'min_samples_leaf': 0.009181818181818182, 'max_depth': 25, 'criterion': 'gini'}",0.9427754618984149,0.9419213187897072,0.9464430865120241,0.9415875805823853,0.9451381322757908,0.9435731160116646,0.0018969999297673706,12,0.948206205463087,0.9490719286493525,0.9468176626103423,0.9484552200221558,0.9482949482190587,0.9481691929927992,0.0007403461084827594
0.16253390312194824,0.011416947457319625,0.012785100936889648,0.00246285310947818,0.07578181818181819,13,entropy,"{'min_samples_leaf': 0.07578181818181819, 'max_depth': 13, 'criterion': 'entropy'}",0.9053054461533336,0.9024767980457401,0.9132943570139225,0.9020727436993338,0.9055254724975393,0.9057349634819738,0.004034855584163004,85,0.9093059480670121,0.9084045374674256,0.9099869283766586,0.9045086421224905,0.9042807472989054,0.9072973606664985,0.002423672651526388
0.19721293449401855,0.007539445179817586,0.017043924331665038,0.002944522342129642,0.05358181818181819,28,entropy,"{'min_samples_leaf': 0.05358181818181819, 'max_depth': 28, 'criterion': 'entropy'}",0.9186322379461255,0.9131863815045267,0.9198211184937896,0.9174005676982161,0.9185633022658459,0.9175207215817007,0.0022984868903171054,61,0.9205433889287388,0.9180125858233829,0.9201533008707338,0.9207670518513877,0.918981224775032,0.9196915104498551,0.0010410600639007507
0.18973088264465332,0.008334528966096575,0.017411565780639647,0.0032036821446069846,0.043490909090909094,24,gini,"{'min_samples_leaf': 0.043490909090909094, 'max_depth': 24, 'criterion': 'gini'}",0.9210528570055531,0.9193164794068149,0.9213328078534097,0.9208731787682529,0.922892785174855,0.9210936216417771,0.0011404113996214458,54,0.924116167912903,0.9239873392560662,0.9215782023276683,0.9235708191655405,0.9231898170785984,0.9232884691481551,0.0009152017300355466
0.1381767749786377,0.005946630825159285,0.017537736892700197,0.0038338027295634135,0.08688181818181819,24,gini,"{'min_samples_leaf': 0.08688181818181819, 'max_depth': 24, 'criterion': 'gini'}",0.8973633540765524,0.8984237445113724,0.9028738394597472,0.9020827504296314,0.9067361168544775,0.9014959610663562,0.0033531793390899766,94,0.9008664501192886,0.904829652659331,0.9011215682378868,0.9040504969187498,0.9030471391311635,0.902783061413284,0.0015683509782031886
0.3098907470703125,0.005639832347729122,0.014478063583374024,0.003003266462873875,0.013218181818181818,12,entropy,"{'min_samples_leaf': 0.013218181818181818, 'max_depth': 12, 'criterion': 'entropy'}",0.9409710543846502,0.9383082679026665,0.943496171509378,0.9392613261950888,0.9412640530390242,0.9406601746061615,0.0017884314833120523,15,0.9443751674046927,0.9449685302134063,0.944400032451187,0.9440488908456196,0.9433321672671119,0.9442249576364035,0.0005355723108691089
