mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.070210599899292,0.013686677779021798,0.20158867835998534,0.01914876796116978,0.02182963963963964,0.08348364864864866,7,gini,"{'min_samples_split': 0.02182963963963964, 'min_samples_leaf': 0.08348364864864866, 'max_depth': 7, 'criterion': 'gini'}",0.8970701255127956,0.8974285308662632,0.8996525744780914,0.8997911085564234,0.9004717162909261,0.8988828111409,0.00136696157002632,88,0.8990631849895024,0.9001382780590464,0.8984602136828861,0.8995542135374318,0.8982529303882014,0.8990937641314136,0.0006945999768204953
1.144529104232788,0.01663291021818663,0.1818291187286377,0.003477723842699965,0.06646981981981982,0.05705748648648649,7,gini,"{'min_samples_split': 0.06646981981981982, 'min_samples_leaf': 0.05705748648648649, 'max_depth': 7, 'criterion': 'gini'}",0.9117856914956457,0.9093701028817693,0.9141895538831827,0.9119622757193078,0.9136440988812885,0.9121903445722388,0.0016899563406656915,59,0.9131929886404558,0.913899637467661,0.9125381297032472,0.9133401710930369,0.9118609087228985,0.91296636712546,0.0007024963798404259
1.1136924743652343,0.04372639378581063,0.1983086109161377,0.009808046773602945,0.05956360360360362,0.0783785945945946,14,gini,"{'min_samples_split': 0.05956360360360362, 'min_samples_leaf': 0.0783785945945946, 'max_depth': 14, 'criterion': 'gini'}",0.9099953051562558,0.9031334962530768,0.9130904581233777,0.906543270237604,0.9140121416905437,0.9093549342921715,0.004066092471121924,77,0.9117228371007217,0.9073782193481463,0.9110676536625512,0.9076449519904998,0.9102584481809942,0.9096144220565826,0.0017805325406898091
1.2083517551422118,0.010188614007723149,0.19485349655151368,0.012004872501580234,0.04795315315315316,0.048348864864864866,9,gini,"{'min_samples_split': 0.04795315315315316, 'min_samples_leaf': 0.048348864864864866, 'max_depth': 9, 'criterion': 'gini'}",0.9163848502790456,0.9121573489691377,0.9183335843802682,0.9144677180035782,0.9195127484954221,0.9161712500254904,0.0026419822101822277,50,0.917868650341898,0.9161833864089631,0.9171222418373538,0.9158694741784877,0.9187338916823423,0.9171555288898091,0.0010582889077866261
1.149449110031128,0.025311811293371185,0.18392744064331054,0.008577369252678753,0.07187468468468469,0.06126164864864865,17,gini,"{'min_samples_split': 0.07187468468468469, 'min_samples_leaf': 0.06126164864864865, 'max_depth': 17, 'criterion': 'gini'}",0.9117034246193582,0.9093359367513537,0.9138346572952626,0.9120012477212468,0.9136915330373796,0.9121133598849201,0.001633902726361657,62,0.9130795062450322,0.9138675021661551,0.9125326948779139,0.9132810652207078,0.911820963584089,0.9129163464187797,0.0006944624177724149
1.1861024379730225,0.013274837514108547,0.18886494636535645,0.015758499991538007,0.05035531531531533,0.055556,27,entropy,"{'min_samples_split': 0.05035531531531533, 'min_samples_leaf': 0.055556, 'max_depth': 27, 'criterion': 'entropy'}",0.9101458592556538,0.9085648635559563,0.9096231690940231,0.9126221443719539,0.9123151524906591,0.9106542377536492,0.0015696069595956764,68,0.911882592700192,0.9135213024954357,0.9109953773849462,0.9126698514112942,0.9110512847620731,0.9120240817507881,0.0009678093012187017
1.022165012359619,0.029328714174121764,0.1976600170135498,0.024697198105280486,0.08758882882882883,0.09279286486486486,7,gini,"{'min_samples_split': 0.08758882882882883, 'min_samples_leaf': 0.09279286486486486, 'max_depth': 7, 'criterion': 'gini'}",0.8930921436091319,0.8929857009112027,0.8946828528086083,0.8957344535634612,0.8960256691072818,0.894504163999937,0.0012775015951485128,100,0.8947646186945496,0.8954710650489366,0.894470914464735,0.8947916081832794,0.8941312790160335,0.8947258970815068,0.0004426464482042578
1.1444398403167724,0.008681386593643689,0.17898454666137695,0.0031337339652077944,0.025232702702702704,0.07487512612612612,22,entropy,"{'min_samples_split': 0.025232702702702704, 'min_samples_leaf': 0.07487512612612612, 'max_depth': 22, 'criterion': 'entropy'}",0.9090711364481413,0.9069606083113024,0.9085558642897639,0.9101899201061286,0.9133830142986445,0.9096321086907961,0.0021443111994056004,72,0.9104782402472225,0.9119167255344612,0.9101407963578237,0.9099496851817265,0.9098767060259131,0.9104724306694294,0.0007515521832570285
1.4109380722045899,0.021295615076003926,0.18662023544311523,0.012969273834230207,0.001911711711711712,0.020020819819819822,15,entropy,"{'min_samples_split': 0.001911711711711712, 'min_samples_leaf': 0.020020819819819822, 'max_depth': 15, 'criterion': 'entropy'}",0.9339918227690488,0.9319349384207666,0.9340497366731954,0.9331088538982081,0.9350657364366168,0.9336302176395671,0.0010500724247810486,11,0.935139441006536,0.9367388290535739,0.9357922199126106,0.9338728975081508,0.9341438934834784,0.9351374561928699,0.0010563512703419306
1.1111473560333252,0.01344396053209194,0.1817795753479004,0.00397269925882702,0.032839549549549554,0.0668671981981982,7,entropy,"{'min_samples_split': 0.032839549549549554, 'min_samples_leaf': 0.0668671981981982, 'max_depth': 7, 'criterion': 'entropy'}",0.9090711364481413,0.9069606083113024,0.9083430567306806,0.9101962778920906,0.9109243872742399,0.9090990933312909,0.0013914742576214762,79,0.9104782402472225,0.9119167255344612,0.909999069877724,0.9098038165759851,0.9091203429767623,0.910263639042431,0.0009345916824545955
